sample,datetime,id,branch,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc
219,2/21/2017 0:00,DT 19,SF,TRE,88,7.52,33,0.37,0.18,0,0.061,0.003,2.93
220,2/21/2017 4:00,DT 21,SF,TRE,88,7.53,23.9,0.36,0.19,0,0.036,0.001,2.52
221,2/22/2017 13:20,Manual,SF,TRE,95,7.49,13.7,0.06,0,0,0.024,0.006,1.6
222,3/24/2017 5:00,,SF,TRE,104,7.1,16.5,0.48,0.17,0.09,0.052,0,3.4
223,3/24/2017 9:00,,SF,TRE,98,7.05,40.4,0.51,0.18,0.07,0.085,0,4.33
224,3/24/2017 15:00,,SF,TRE,98,7.31,35.2,0.52,0.22,0.01,0.058,0,3.05
225,3/25/2017 1:00,,SF,TRE,100,7.23,25.1,0.35,0.15,0.02,0.041,0,2.2
226,3/25/2017 11:00,,SF,TRE,103,7.35,31.7,0.33,0.16,0.03,0.064,0,1.52
227,3/25/2017 23:00,,SF,TRE,105,7.43,19.5,0.2,0.06,0.05,0.046,0,1.46
228,3/24/2017 5:00,,SF,UQL,121,8.09,31.1,0.37,0.14,0.02,0.041,0,2.06
229,3/24/2017 7:00,,SF,UQL,109,8.03,31.9,0.31,0.15,0.01,0.041,0,2.83
230,3/24/2017 11:00,,SF,UQL,98,7.92,45.4,0.44,0.17,0.01,0.064,0,4.4
231,3/24/2017 23:00,,SF,UQL,98,7.8,46.1,0.35,0.1,0.01,0.061,0,2.96
